,Person,Condition,Drug,Observation,Measurement,Procedure,Device,Visit,Negation,Qualifier,Temporal,Value,Multiplier,Reference_point,Mood,Post-eligibility,Pregnancy_considerations,Informed_consent
18800,,breast cancer liver metastases,,,,,,,,,,>70% diameter stenosis,,,,,,
18801,,smokers,,,,,,,,,,6 mm or greater,,,,,,
18802,,irritable bowel syndrome|pregnancy,,,,,,,,,,3 times or higher than upper normal,,,,,,
18803,,salivary duct carcinoma,,,,,,,,,,at least,,,,,,
18804,,mood disorder,,,,,,,,,,45 mm or more,,,,,,
18805,,rectal cancer disease.|the lower margin of the tumor,,,,,,,,,,individuals ≥18 years,,,,,,
18806,,heart disease.|women,,,,,,,,,,< 25,,,,,,
18807,,mixed hepatocellular / cholangiocarcinoma,,,,,,,,,,6-month mortality,,,,,,
18808,,extra-abdominal,,,,,,,,,,18 to <40 kilograms/meter,,,,,,
18809,,"criteria for exclusion of parents from the study are:||caring for other dependent people (elderly,",,,,,,,,,,0 to 2|patients,,,,,,
18810,,rheumatism/organs,,,,,,,,,,greater than or equal to 2,,,,,,
18811,,medullary thyroid carcinoma.|presence of,,,,,,,,,,less than or equal to 80,,,,,,
18812,,microecological preparations,,,,,,,,,,between 50.0 to 90.0 kg,,,,,,
18813,,thoracic oncology staging manual|histological,,,,,,,,,,b-cell,,,,,,
18814,,local anaesthetic,,,,,,,,,,<27 kg/m2|normal,,,,,,
18815,,primary amyloidosis,,,,,,,,,,<50 copies/ml|cd4,,,,,,
18816,,gastrointestinal (gi) function,,,,,,,,,,≤ 1.5 x institutional upper limit of normal (uln),,,,,,
18817,,specific pathology,,,,,,,,,,60-120 minutes daily,,,,,,
18818,,pruriginous lesions,,,,,,,,,,≥ 0.2mv,,,,,,
18819,,organ perforation,,,,,,,,,,< 30|no orthopedic,,,,,,
18820,,cognitively,,,,,,,,,,≥ 2.0 g/dl||all,,,,,,
18821,,multiple fractures,,,,,,,,,,<1.0 sd and,,,,,,
18822,,prolonged period,,,,,,,,,,18 years to 80,,,,,,
18823,,dromo-tropic effects,,,,,,,,,,older than 50 years old,,,,,,
18824,,good health,,,,,,,,,,<50.000,,,,,,
18825,,pervasive developmental delay,,,,,,,,,,0-2|ability of the participant understand and the willingness to sign,,,,,,
18826,,emergency surgery|chronic renal failure,,,,,,,,,,20-35||,,,,,,
18827,,2 hypertension,,,,,,,,,,"less than 20,000 per microliter",,,,,,
18828,,mtrps have,,,,,,,,,,= 400 ml,,,,,,
18829,,lactation|comorbid disease,,,,,,,,,,> 18yrs|informed consent|sterile urine culture,,,,,,
18830,,psychiatric illness;|neurodegenerative pathology,,,,,,,,,,12-17 years,,,,,,
18831,,intrahepatic biliary tract,,,,,,,,,,age≥18 years；meet,,,,,,
18832,,good response,,,,,,,,,,2-3 mm,,,,,,
18833,,rhinorrhea,,,,,,,,,,age|older than 18years,,,,,,
18834,,solid component suspicious,,,,,,,,,,< 30 kg/,,,,,,
18835,,infectious disease;|patients,,,,,,,,,,less than 1.5 years.|participants,,,,,,
18836,,infective endocarditis,,,,,,,,,,<34 weeks,,,,,,
18837,,language communication difficulties,,,,,,,,,,seropositivity,,,,,,
18838,,copd exacerbation in,,,,,,,,,,>= 3.5)||metastasis confined to the,,,,,,
18839,,otherwise,,,,,,,,,,lvef<50%,,,,,,
18840,,traumatic cerebral hemorrhage,,,,,,,,,,18 years or older|ability to speak,,,,,,
18841,,non-conservative,,,,,,,,,,"≥ 5 points,|have minor",,,,,,
18842,,respiratory system diseases,,,,,,,,,,< 5400 μm (equivalent to 9,,,,,,
18843,,iron utilization disorders|patients with serum ferritin,,,,,,,,,,≥7.0%,,,,,,
18844,,mwho disease,,,,,,,,,,>3|cardiac,,,,,,
18845,,any comorbidities,,,,,,,,,,≥ 1.20 d,,,,,,
18846,,metastatic diseases,,,,,,,,,,≥75 years|benign gallbladder,,,,,,
18847,,abraded scalp,,,,,,,,,,18 and older|serious,,,,,,
18848,,functional disorder,,,,,,,,,,>140 / 90 mmhg,,,,,,
18849,,score symptoms,,,,,,,,,,3-1)|cardiovascular stability||,,,,,,
18850,,neuromyelitis optica,,,,,,,,,,>110 ms,,,,,,
18851,,chronic enteritis,,,,,,,,,,1.1 standard;|the main organ function,,,,,,
18852,,p. vivax malaria,,,,,,,,,,functional class hf,,,,,,
18853,,acute promyelocytic leukemia.|radiologically-detected,,,,,,,,,,18-60 years old,,,,,,
18854,,gingiva infection,,,,,,,,,,above a baseline,,,,,,
18855,,tuberculosis [tb],,,,,,,,,,≤1.5-fold the uln of the study site,,,,,,
18856,,comorbid anxiety disorder|those,,,,,,,,,,> 100 beats/min or < 50 beats/min,,,,,,
18857,,menstrual cycle,,,,,,,,,,12 to 18 years old,,,,,,
18858,,spleen,,,,,,,,,,< 6.5%,,,,,,
18859,,isoniazid)|poor general condition,,,,,,,,,,≥ 0.5×10^9/l,,,,,,
18860,,uterine fibroid,,,,,,,,,,a；|estimated survival,,,,,,
18861,,cognitive barriers,,,,,,,,,,n3 upper limit of normal,,,,,,
18862,,spine|peripheral nerve injury,,,,,,,,,,above the detection limit,,,,,,
18863,,suppositories,,,,,,,,,,+ 28 days|non consent,,,,,,
18864,,myopic traction macular disease,,,,,,,,,,≥ 50 ml /min,,,,,,
18865,,pituitary obesity,,,,,,,,,,18 years or older|a,,,,,,
18866,,acute adverse events,,,,,,,,,,overall patient criteria,,,,,,
18867,,sick-sinus syndrome,,,,,,,,,,≥18 to ≤65 years,,,,,,
18868,,non-squamous,,,,,,,,,,≥ 45 years,,,,,,
18869,,acute febrile infection,,,,,,,,,,unreachable,,,,,,
18870,,schistosomiasis,,,,,,,,,,1.1 with the,,,,,,
18871,,coronary arterial,,,,,,,,,,1.5 times higher than the upper limit of normal.|patients,,,,,,
18872,,cardiogenic embolism,,,,,,,,,,=< 30 ml/min,,,,,,
18873,,esophageal reflux disease,,,,,,,,,,≥ 3.0 x uln,,,,,,
18874,,1)complex fistula,,,,,,,,,,between 20 and 75 years,,,,,,
18875,,squamous cell only,,,,,,,,,,≤ al ≤ 30mm,,,,,,
18876,,allergic condition,,,,,,,,,,< 2.5x uln||,,,,,,
18877,,alcohol abuse.|active pregnancy,,,,,,,,,,between 25-36 from,,,,,,
18878,,non-ad dementia|contraindication,,,,,,,,,,i to iii,,,,,,
18879,,risk cytogenetics,,,,,,,,,,<4 weeks,,,,,,
18880,,complete remission,,,,,,,,,,> 25.0,,,,,,
18881,,ileus,,,,,,,,,,greater than 130 millimeter of mercury,,,,,,
18882,,chronic gastrointestinal conditions,,,,,,,,,,more than once per week).|inability to complete research assessments,,,,,,
18883,,uterine cervix;|decompensated heart failure,,,,,,,,,,< 30 ml/min,,,,,,
18884,,dermatological symptoms,,,,,,,,,,>= 40 ml/min,,,,,,
18885,,nyha classification);|uncontrolled hypertension,,,,,,,,,,bullosa|patient,,,,,,
18886,,hepatitis e.|presence,,,,,,,,,,global score of 0.5,,,,,,
18887,,bladder neck contracture,,,,,,,,,,single tumor,,,,,,
18888,,hematopoietic system|active cancers|acute,,,,,,,,,,9-12|do,,,,,,
18889,,mogad,,,,,,,,,,<= 2.5 x uln,,,,,,
18890,,infectious diseases|participants,,,,,,,,,,greater than 37 completed,,,,,,
18891,,limiting symptoms,,,,,,,,,,score ≤ 3;||normal hemodynamic indices:||blood cell count,,,,,,
18892,,extensive colonic resection,,,,,,,,,,>20 pack years|receipt,,,,,,
18893,,systemic hypotension,,,,,,,,,,> 8 g/dl||renal:||bun,,,,,,
18894,,chemistry panel,,,,,,,,,,shorter than 2 weeks;|years younger than 12 years,,,,,,
18895,,risk of infection,,,,,,,,,,"< 150,000 / μl|hemoglobin < 6.2 mmol/l",,,,,,
18896,,cardiac repolarization,,,,,,,,,,18 to 65,,,,,,
18897,,mental retardation,,,,,,,,,,25 years or younger,,,,,,
18898,,liver decompensating events,,,,,,,,,,>65%||,,,,,,
18899,,mass,,,,,,,,,,> 2 times the reference range.|hypersensitivity to the,,,,,,
18900,,hepatitis d,,,,,,,,,,≥ 7mm,,,,,,
18901,,local anesthetic|hypothyroidism,,,,,,,,,,≥ 20 kg.|performance status,,,,,,
18902,,hypoplastic left heart syndrome,,,,,,,,,,3-5.||,,,,,,
18903,,consumption of food,,,,,,,,,,=< 1.6,,,,,,
18904,,painful disorders,,,,,,,,,,>2.8 m/sec,,,,,,
18905,,oesophageal fistula,,,,,,,,,,at least another,,,,,,
18906,,mtbi,,,,,,,,,,< 12.0 g/dl,,,,,,
18907,,early-stage als,,,,,,,,,,< 0.9).|thrombocytopenic patients,,,,,,
18908,,rales on auscultation,,,,,,,,,,440 nmol/l,,,,,,
18909,,immune thrombocytopenia,,,,,,,,,,> 120 msec|qtcb,,,,,,
18910,,nccn risk group criteria,,,,,,,,,,>=2 cm,,,,,,
18911,,primary hepatobiliary malignancies,,,,,,,,,,≥ 100.4°f,,,,,,
18912,,sperm parameters.|known infection,,,,,,,,,,"under 100,000.|serum creatinine greater than 1.5 mg/dl.|serum",,,,,,
18913,,corneal disorders,,,,,,,,,,<70%,,,,,,
18914,,post-cricoid,,,,,,,,,,at least 12 weeks||sex,,,,,,
18915,,sports like tennis,,,,,,,,,,>g,,,,,,
18916,,nerve root,,,,,,,,,,less than 52°,,,,,,
18917,,autoimmune disorders.||,,,,,,,,,,<1 month,,,,,,
18918,,grace village,,,,,,,,,,≥ class ii,,,,,,
18919,,superficial digital flexor tendon injuries,,,,,,,,,,0-2.|estimated,,,,,,
18920,,human immunodeficiency virus [hiv,,,,,,,,,,>15 eosinophilic granulocytes per high,,,,,,
18921,,fails,,,,,,,,,,≥18 years)|will,,,,,,
18922,,lm,,,,,,,,,,<90%,,,,,,
18923,,drainage;|patients,,,,,,,,,,>6)|individuals,,,,,,
18924,,francilien,,,,,,,,,,less than or equal to 63 mm,,,,,,
18925,,acceptable disease-free,,,,,,,,,,> 3 x uln,,,,,,
18926,,demonstration of a qtc interval,,,,,,,,,,5%,,,,,,
18927,,lower extremity edema,,,,,,,,,,ii-iv ovarian,,,,,,
18928,,thyroid disease.|the,,,,,,,,,,less than 30 ml/,,,,,,
18929,,gastrointestinal oxalate absorption,,,,,,,,,,> 50ml/min/1.73m^2.|recipient,,,,,,
18930,,hf symptom decompensation,,,,,,,,,,greater than 11 years,,,,,,
18931,,non-smoking,,,,,,,,,,<2.5x10^9/l,,,,,,
18932,,retinal vascular disease than dr|refractive errors,,,,,,,,,,≤ 3000 ng/ml,,,,,,
18933,,pai-1 risk allele,,,,,,,,,,at least 3 weeks,,,,,,
18934,,formula intolerance,,,,,,,,,,>= 18|english speaking|able to comprehend,,,,,,
18935,,head and neck radiation|written informed consent,,,,,,,,,,greater than or equal to 30 kg/m2;|older,,,,,,
18936,,renal psoriasis|epidermal bullosum|other diseases,,,,,,,,,,18-65 years|diagnosis,,,,,,
18937,,other neoplasms,,,,,,,,,,≤ 30 kg/m2;|a willingness,,,,,,
18938,,chest orthostatic x-ray,,,,,,,,,,<105,,,,,,
18939,,oral ulcers,,,,,,,,,,< 40%|patient,,,,,,
18940,,maternal chronic diseases,,,,,,,,,,at least 3 months.|no more than one prior therapy,,,,,,
18941,,adenomyoma,,,,,,,,,,>2 mg/dl.|brain mri exclusion criteria,,,,,,
18942,,paget's disease,,,,,,,,,,"2,5- 4",,,,,,
18943,,monoclonal gammopathy,,,,,,,,,,functional classification.|significant screening electrocardiogram (ecg),,,,,,
18944,,cns instrumentation,,,,,,,,,,ii-iii|can perform,,,,,,
18945,,dependent,,,,,,,,,,less than 18 years.|patients,,,,,,
18946,,refractory aml,,,,,,,,,,≥18 and ≤60,,,,,,
18947,,orr,,,,,,,,,,more than 60 beats/min,,,,,,
18948,,disease-free,,,,,,,,,,over 120 kg|participation,,,,,,
18949,,sjögren syndrome,,,,,,,,,,≥ 18 years|karnofsky,,,,,,
18950,,squamous epithelial cell skin cancer,,,,,,,,,,greater than 0.0,,,,,,
18951,,n2c disease,,,,,,,,,,"≥ 1,5 × 10^9/l|platelets",,,,,,
18952,,congestive heart failure (chf) human immunodeficiency virus (hiv),,,,,,,,,,<18.5 kg/m^2,,,,,,
18953,,major depressive episode,,,,,,,,,,<18.0 or >30.0 kg/m2.||women,,,,,,
18954,,cardio-respiratory instability.|traumatic,,,,,,,,,,more than 20%,,,,,,
18955,,pregnancy|contra-indication,,,,,,,,,,≥ 4 mm,,,,,,
18956,,period;|prolonged qt syndrome,,,,,,,,,,score of < 19,,,,,,
18957,,fudr,,,,,,,,,,> 1.5 mg/dl.|received,,,,,,
18958,,paranasal sinuses,,,,,,,,,,between 45 to 90 mmhg,,,,,,
18959,,cerebrovascular damage,,,,,,,,,,> 130 mm hg,,,,,,
18960,,hepatobiliary,,,,,,,,,,interval,,,,,,
18961,,retained after,,,,,,,,,,> 100mmhg).|pre-registration,,,,,,
18962,,hypertension.|inability to administer darolutamide,,,,,,,,,,≥ 7.5%|patients,,,,,,
18963,,activated from the blood bank.|patients transferred,,,,,,,,,,≥32 kg/m^2 to ≤39.9 kg/m^2,,,,,,
18964,,er+/her2- bc,,,,,,,,,,outside of the normal laboratory defined range,,,,,,
18965,,nicotine dependence,,,,,,,,,,<11.0 g/dl,,,,,,
18966,,cyp3a4*,,,,,,,,,,>35kg/m2;|peri-incisional,,,,,,
18967,,multiple glioma metastases,,,,,,,,,,between 5 and 15 cm from the dentate,,,,,,
18968,,white matter disease,,,,,,,,,,≤ 50% gfr,,,,,,
18969,,respiratory deficit,,,,,,,,,,95% for ≥f3,,,,,,
18970,,left atrial appendage occluder,,,,,,,,,,=< 3 × uln,,,,,,
18971,,silicone|terminal medical condition,,,,,,,,,,≥ 6.5% despite,,,,,,
18972,,neurotransidal);||featured pulmonary fibrosis,,,,,,,,,,<100|orthostatic hypotension of,,,,,,
18973,,meniscus injury,,,,,,,,,,≤ 1);|sufficient,,,,,,
18974,,conditions,,,,,,,,,,≤ 2.5 x uln|inr,,,,,,
18975,,skin condition,,,,,,,,,,11-17,,,,,,
18976,,acquired disorders,,,,,,,,,,≥10 points,,,,,,
18977,,benifits,,,,,,,,,,> 18-yr to 85-yr|severe,,,,,,
18978,,crystal deposition arthritis,,,,,,,,,,male's penis enters,,,,,,
18979,,down syndrome,,,,,,,,,,>18 years old.|twin pregnancy.||,,,,,,
18980,,diabetes mellitus|exposure,,,,,,,,,,>60|able to understand,,,,,,
18981,,cancers,,,,,,,,,,least 50% diameter stenosis,,,,,,
18982,,fibrolamellar hcc,,,,,,,,,,= 40%,,,,,,
18983,,age.|eastern,,,,,,,,,,more than 40,,,,,,
18984,,musculoskeletal disease|no removable,,,,,,,,,,between 30 to 44(include,,,,,,
18985,,perianal diseases,,,,,,,,,,< 60 mm hg,,,,,,
18986,,vivo.|skin lesions,,,,,,,,,,<38℃,,,,,,
18987,,ruptured eardrum,,,,,,,,,,<= 5 x uln)|participants serologically,,,,,,
18988,,teeth,,,,,,,,,,>13.3 mmol/l|gpt>100u/l,,,,,,
18989,,genital herpes,,,,,,,,,,2.87 mg/l).|any,,,,,,
18990,,atopic keratoconjunctivitis,,,,,,,,,,below 50 %,,,,,,
18991,,communication barriers|patients,,,,,,,,,,100-140 mmhg,,,,,,
18992,,lack of support,,,,,,,,,,between 2-6|18+ years,,,,,,
18993,,pruritic dermatosis.|woman,,,,,,,,,,> 100 x 109/l iii,,,,,,
18994,,congestion,,,,,,,,,,≥2 mg/dl,,,,,,
18995,,early stage cancers,,,,,,,,,,<650)||chloroquine (cq),,,,,,
18996,,bilirubin obstruction,,,,,,,,,,0-2|registration,,,,,,
18997,,unstable condition,,,,,,,,,,score i,,,,,,
18998,,stabilized|pregnant,,,,,,,,,,≥25 on 17-item hamilton rating scale for depression,,,,,,
18999,,sedentary behavior)|depressive symptoms,,,,,,,,,,> grade 2).|participants,,,,,,
19000,,rad51c,,,,,,,,,,19-65 age range|female|bmi,,,,,,
19001,,kidney failure|pregnancy,,,,,,,,,,≥60 years|had,,,,,,
19002,,acute hemorrhagic stroke,,,,,,,,,,<50% of the total lesion,,,,,,
19003,,contraindicating intramuscular,,,,,,,,,,18 and older|enrolled,,,,,,
19004,,pleural effusions,,,,,,,,,,> 1.5 cm)|step,,,,,,
19005,,type 1 diabetes|hemoglobin,,,,,,,,,,4-18 years,,,,,,
19006,,consciousness disturbance,,,,,,,,,,between 18 and 90 years;|glasgow,,,,,,
19007,,rickets,,,,,,,,,,≥ 60;|written informed,,,,,,
19008,,distant metastatic lesion,,,,,,,,,,> 6.5 pmol/l,,,,,,
19009,,rhenium-186,,,,,,,,,,>= 500/mcl||platelets,,,,,,
19010,,left pulmonary artery,,,,,,,,,,≥150 (≥18 years old,,,,,,
19011,,type 2 diabetes.||the study eye,,,,,,,,,,=< 2.5 x institutional uln,,,,,,
19012,,tail tumors,,,,,,,,,,> 50 kg/m2|atrial,,,,,,
19013,,recurring pain,,,,,,,,,,">= 100,000/mcl||total bilirubin",,,,,,
19014,,hypertension.|inability to swallow oral medications.||darolutamide,,,,,,,,,,?,,,,,,
19015,,organ involvement related to pss,,,,,,,,,,25 or above,,,,,,
19016,,obstructed nasal,,,,,,,,,,≥ 200 ng/ml,,,,,,
19017,,thoracic surgery;|pregnant,,,,,,,,,,lower than 30%,,,,,,
19018,,cardiac pathologies,,,,,,,,,,"between 28-35 weeks of gestation,|being in appropriate weight",,,,,,
19019,,granulomatous vasculitis,,,,,,,,,,≥ 100 g/l|serum creatinine,,,,,,
19020,,tract infections,,,,,,,,,,≤ 70mmhg|at least 10%,,,,,,
19021,,completed soc,,,,,,,,,,80%,,,,,,
19022,,recruitment.|spontaneously breathing,,,,,,,,,,class iii/iv,,,,,,
19023,,nifedipine|inability,,,,,,,,,,mri.|the,,,,,,
19024,,attempted,,,,,,,,,,< 500 iu/ml|variceal status,,,,,,
19025,,metabolic disorders;|healthy,,,,,,,,,,<0.8,,,,,,
19026,,auditory condition,,,,,,,,,,>two-fold above uln,,,,,,
19027,,localized gleason 6 prostate cancer,,,,,,,,,,from 2 to 10 years.|sex,,,,,,
19028,,cd30+ ptcl,,,,,,,,,,0 - 2.|ability to understand and sign the informed,,,,,,
19029,,yukon chrome pc,,,,,,,,,,> the normal control median,,,,,,
19030,,facial acne,,,,,,,,,,> 5 mm,,,,,,
19031,,idiopathic interstitial pneumonia,,,,,,,,,,≥ 110,,,,,,
19032,,ductal carcinoma in situ of the breast after radical,,,,,,,,,,≥ 305 iu/ml)|patient,,,,,,
19033,,pancreatic cancer.|ecog performance status,,,,,,,,,,> 70 mg/dl,,,,,,
19034,,menstrual cramps,,,,,,,,,,< 5.|body mass index,,,,,,
19035,,infectious causes||guillain barre||mri,,,,,,,,,,=< 2.5 x uln|women,,,,,,
19036,,mechanism,,,,,,,,,,grade;|18-65,,,,,,
19037,,eighteen.|submucosal,,,,,,,,,,10 mg/day);|received,,,,,,
19038,,covid vaccines,,,,,,,,,,between 0-7,,,,,,
19039,,liver metastases,,,,,,,,,,≥ 10%,,,,,,
19040,,diabetes|current,,,,,,,,,,sex|between 25-55 years,,,,,,
19041,,associated sinus,,,,,,,,,,≤ 1.5 x upper limit of normal,,,,,,
19042,,inspection indicators,,,,,,,,,,≥ and < 80 years,,,,,,
19043,,ischemic heart disease,,,,,,,,,,not exceeding 10%,,,,,,
19044,,non-ischemic dilated cardiomyopathy,,,,,,,,,,< 3 g/l,,,,,,
19045,,hemodynamic findings consistent,,,,,,,,,,class iv heart failure,,,,,,
19046,,study;|ocular disorder,,,,,,,,,,more than 7 days.|tumor tissue sections,,,,,,
19047,,bipolar i,,,,,,,,,,> 80|clinical diagnosis,,,,,,
19048,,skin disease,,,,,,,,,,">150,000/mm^3|hemoglobin",,,,,,
19049,,junctional adhesion molecule,,,,,,,,,,equal to or greater,,,,,,
19050,,hemoglobin abnormalities,,,,,,,,,,> 50 ml/min.|total,,,,,,
19051,,digits,,,,,,,,,,≥ 18 and≤ 75 years,,,,,,
19052,,hcc,,,,,,,,,,greater than two-fold normal,,,,,,
19053,,cannabis|weight loss,,,,,,,,,,> 2 × uln|aspartate aminotransferase,,,,,,
19054,,atresia,,,,,,,,,,between 18 kg/m2,,,,,,
19055,,classification)|significant renal disease,,,,,,,,,,≥ 20 mmhg,,,,,,
19056,,reduced,,,,,,,,,,>= 21 years||high,,,,,,
19057,,seropositivity to hiv,,,,,,,,,,> 13mm,,,,,,
19058,,consent)|cardiogenic shock,,,,,,,,,,between 18 and 25 kg/m²||,,,,,,
19059,,urinary diseases,,,,,,,,,,under 18 years|inability to give,,,,,,
19060,,symptom of fever,,,,,,,,,,">100,000/mm3",,,,,,
19061,,behavioral concerns,,,,,,,,,,0-1.|patients,,,,,,
19062,,neutropenic,,,,,,,,,,worse than snellen,,,,,,
19063,,drug-induced interstitial lung disease,,,,,,,,,,between 19 to 40 years.|bmi,,,,,,
19064,,infection.|presence,,,,,,,,,,0-2||exclusion,,,,,,
19065,,akkanat sbf nursing,,,,,,,,,,american race|age,,,,,,
19066,,coronary artery disease (cad),,,,,,,,,,above 1.5 × uln,,,,,,
19067,,superficial venous thrombosis,,,,,,,,,,≥18 years|written informed,,,,,,
19068,,end-organ damage,,,,,,,,,,> 10|the patient's,,,,,,
19069,,lack of ability in oral intake,,,,,,,,,,<-0.88 d,,,,,,
19070,,stress urinary incontinence,,,,,,,,,,below 75%,,,,,,
19071,,skin neoplasia,,,,,,,,,,more than 50.0 kg,,,,,,
19072,,chronic allergic rhinitis,,,,,,,,,,<45 ml/min,,,,,,
19073,,aortic heart disease,,,,,,,,,,14 to 17 years,,,,,,
19074,,diabetic ulcer,,,,,,,,,,< 7 kgs,,,,,,
19075,,urgency,,,,,,,,,,under 18 years|cannot complete and understand study materials,,,,,,
19076,,vascular damage,,,,,,,,,,"<50,000 platelets per µl)|pregnancy",,,,,,
19077,,her2 ++,,,,,,,,,,between 30-60|pateint,,,,,,
19078,,adverse habits,,,,,,,,,,≤ 5 half-lives,,,,,,
19079,,shape anomaly,,,,,,,,,,140-age,,,,,,
19080,,neonatal problems,,,,,,,,,,7 to 17 years,,,,,,
19081,,substance abuse|pulse,,,,,,,,,,> 4.0ng/ml,,,,,,
19082,,intracardiac shunt,,,,,,,,,,≥45 % or below 20%.|prior,,,,,,
19083,,bleeding diathesis|patient,,,,,,,,,,>18 years.|diagnosis,,,,,,
19084,,non-steroidal anti-inflammatory drugs (nsaids) amiodarone,,,,,,,,,,≥ 60;|exclusion,,,,,,
19085,,medically inadvisable,,,,,,,,,,more than 15mm|patients,,,,,,
19086,,comorbid substance misuse,,,,,,,,,,less than 34 week of amenorrhea corrected age|birth,,,,,,
19087,,tumor necrosis factor blockers,,,,,,,,,,> 1.5 × institutional upper limit of normal,,,,,,
19088,,histologic diagnosis,,,,,,,,,,< 3 x uln,,,,,,
19089,,causing issues,,,,,,,,,,>=2||,,,,,,
19090,,rotator cuff,,,,,,,,,,>=20%,,,,,,
19091,,ulcerative colitis).|any condition,,,,,,,,,,< 1.5 x 109/l.|platelet count,,,,,,
19092,,sympathetic dysfunction,,,,,,,,,,≤ 2.5 x uln.|renal function,,,,,,
19093,,intestinal tuberculosis,,,,,,,,,,30 kg/m2,,,,,,
19094,,screening.|active infection,,,,,,,,,,≥3 months;|there should,,,,,,
19095,,chronic inflammatory demyelinating polyneuropathy,,,,,,,,,,"> 3,000/microliter",,,,,,
19096,,uncontrollable clinical problem,,,,,,,,,,≥1.5×10^9,,,,,,
19097,,ocular pain,,,,,,,,,,≥ 26,,,,,,
19098,,vascular malformation,,,,,,,,,,× 0.85/72 × serum creatinine,,,,,,
19099,,squamous cell carcinoma of the skin)|patients known,,,,,,,,,,> 37.5℃,,,,,,
19100,,active virus infection,,,,,,,,,,> normal reference value,,,,,,
19101,,these comorbidities,,,,,,,,,,<60 ml/min/1.73 m2)|positive,,,,,,
19102,,alcohol use,,,,,,,,,,>18 mm hg,,,,,,
19103,,admission|allergic reaction,,,,,,,,,,20 and 70 are eligible,,,,,,
19104,,creates,,,,,,,,,,between 0-5 years,,,,,,
19105,,congitive impairment,,,,,,,,,,≥ 10 mg/l|informed,,,,,,
19106,,papilloma,,,,,,,,,,>2.5 times,,,,,,
19107,,lymphoma/dlbcl,,,,,,,,,,< 13.0 g/dl|serum creatinine,,,,,,
19108,,mucositis,,,,,,,,,,20-45 years,,,,,,
19109,,breast feeding|are investigator site personnel,,,,,,,,,,≥18 to 95 years,,,,,,
19110,,painful diabetes neuropathy,,,,,,,,,,adults||50-90 years,,,,,,
19111,,regular menstrual cycle|vascular disease,,,,,,,,,,<60|pregnancy|currently,,,,,,
19112,,tubal ligation,,,,,,,,,,between 200/7,,,,,,
19113,,moffitt cancer center,,,,,,,,,,i-ii-iii|scheduled,,,,,,
19114,,soft tissue sarcoma of the limbs,,,,,,,,,,no more than 20mm,,,,,,
19115,,pain palliation,,,,,,,,,,greater than 90/60mmhg,,,,,,
19116,,syndromic obesity|for,,,,,,,,,,≥ 65 db hl|aided,,,,,,
19117,,iii)transverse myelitis,,,,,,,,,,≥3.0×10^9/l,,,,,,
19118,,detectable evidence of,,,,,,,,,,1-18 years.|a negative pregnancy test in,,,,,,
19119,,independence scale,,,,,,,,,,150m,,,,,,
19120,,structural brain abnormalities,,,,,,,,,,less than 8 mm,,,,,,
19121,,horizontal growth,,,,,,,,,,5.7-6.4%||ii,,,,,,
19122,,small bowel,,,,,,,,,,vegetarians;|long-term,,,,,,
19123,,stage solid tumor|progressed,,,,,,,,,,250 mg/dl,,,,,,
19124,,prophylaxis)|renal failure,,,,,,,,,,2 cm from the natal cleft.|distance,,,,,,
19125,,arad,,,,,,,,,,>90 or <60 mmhg|pulse <60 or >100,,,,,,
19126,,old;||mitral valve insufficiency,,,,,,,,,,> 1.5 cm,,,,,,
19127,,co-morbid,,,,,,,,,,18 or above,,,,,,
19128,,disease||castration-sensitive status,,,,,,,,,,disease,,,,,,
19129,,surgical complication,,,,,,,,,,january 2010,,,,,,
19130,,small molecules,,,,,,,,,,grade b,,,,,,
19131,,pulmonary arterial hypertension pulmonary arterial hypertension,,,,,,,,,,30 db or greater,,,,,,
19132,,canal sized #60,,,,,,,,,,>350 µl;|had,,,,,,
19133,,internal,,,,,,,,,,≥ 16 - 50 years,,,,,,
19134,,metastases on the ct scan,,,,,,,,,,< 1.5 × institutional unl.|albumin,,,,,,
19135,,non infectious pneumonia,,,,,,,,,,greater than or equal to 18 years of age|eligible,,,,,,
19136,,adverse health conditions,,,,,,,,,,>120 kg,,,,,,
19137,,cycles,,,,,,,,,,between 18 and 45 years.|women,,,,,,
19138,,tanning booth,,,,,,,,,,"≥2,000/mm3",,,,,,
19139,,active disorders,,,,,,,,,,> 30 kg/m2||,,,,,,
19140,,coronary bypass,,,,,,,,,,18 years or older|all,,,,,,
19141,,chronic skin problems.|seizure,,,,,,,,,,high-grade,,,,,,
19142,,left atrial diameter (,,,,,,,,,,> 30 miu/ml,,,,,,
19143,,recurrence bppv,,,,,,,,,,<15,,,,,,
19144,,brain.|uncontrolled infection,,,,,,,,,,between 1 and 8 years of age|caregiver,,,,,,
19145,,fungal respiratory disease;|there are factors,,,,,,,,,,greater than 3 months|at least one,,,,,,
19146,,epilepsy|fixed contracture,,,,,,,,,,over 20 kg/m2,,,,,,
19147,,covid infection,,,,,,,,,,between 50 and 70 years|magnetic resonance imaging verified,,,,,,
19148,,chronic gastrointestinal illness,,,,,,,,,,> 120 msec,,,,,,
19149,,acute onset neurological deficit attributable,,,,,,,,,,20-30 kg/m2||,,,,,,
19150,,bidirectional shunts.|patients,,,,,,,,,,> 18 years)|patients,,,,,,
19151,,healthy resident,,,,,,,,,,≥ 65 years;|body,,,,,,
19152,,overall involvement,,,,,,,,,,1 to 3.|body mass index,,,,,,
